#,MachineName,Category,EntryType,Source,TimeGenerated,country,regionName,city,isp,reconstruction_error,anomaly_score,is_anomaly,severity
24,LAPTOP-1MKMTVPM,General,Information,ESENT,2020-11-14 07:21:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,2.7265582,0.060309947,True,LOW
40,LAPTOP-1MKMTVPM,Logging/Recovery,Information,ESENT,2020-11-14 07:21:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,3.5207744,0.077916965,True,LOW
92,LAPTOP-1MKMTVPM,Logging/Recovery,Information,ESENT,2020-11-14 17:45:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,3.5076218,0.07762539,True,LOW
103,LAPTOP-1MKMTVPM,General,Information,ESENT,2020-11-14 17:45:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,2.7153428,0.060061313,True,LOW
154,LAPTOP-1MKMTVPM,General,Information,ESENT,2020-11-13 06:49:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,2.4973235,0.055228032,True,LOW
171,LAPTOP-1MKMTVPM,General,Information,ESENT,2020-11-13 06:49:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,2.7005384,0.059733115,True,LOW
236,LAPTOP-1MKMTVPM,General,Information,ESENT,2020-11-13 06:48:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,2.6878393,0.059451587,True,LOW
269,LAPTOP-1MKMTVPM,General,Information,ESENT,2020-11-13 06:48:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,2.3786695,0.052597586,True,LOW
323,LAPTOP-1MKMTVPM,General,Information,ESENT,2020-11-13 18:17:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,2.6409113,0.058411237,True,LOW
341,LAPTOP-1MKMTVPM,General,Information,ESENT,2020-11-09 15:39:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,2.652965,0.05867846,True,LOW
345,LAPTOP-1MKMTVPM,Logging/Recovery,Information,ESENT,2020-11-07 17:42:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,3.5067408,0.07760585,True,LOW
365,LAPTOP-1MKMTVPM,Logging/Recovery,Information,ESENT,2020-11-10 15:49:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,3.5023472,0.07750845,True,LOW
367,LAPTOP-1MKMTVPM,General,Information,ESENT,2020-11-09 15:53:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,2.6327503,0.058230314,True,LOW
388,LAPTOP-1MKMTVPM,General,Information,ESENT,2020-11-09 15:53:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,2.1477373,0.04747804,True,LOW
397,LAPTOP-1MKMTVPM,General,Information,ESENT,2020-11-05 15:28:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,1.9977227,0.04415236,True,LOW
407,LAPTOP-1MKMTVPM,Logging/Recovery,Information,ESENT,2020-11-13 17:37:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,3.5020072,0.07750092,True,LOW
462,LAPTOP-1MKMTVPM,General,Information,ESENT,2020-11-07 17:42:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,2.5650322,0.05672907,True,LOW
467,LAPTOP-1MKMTVPM,General,Information,ESENT,2020-11-06 17:36:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,2.0318792,0.044909574,True,LOW
468,LAPTOP-1MKMTVPM,General,Information,ESENT,2020-11-05 15:59:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,2.598515,0.057471354,True,LOW
470,LAPTOP-1MKMTVPM,Logging/Recovery,Information,ESENT,2020-11-05 15:59:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,3.5008714,0.077475734,True,LOW
475,LAPTOP-1MKMTVPM,Logging/Recovery,Information,ESENT,2020-11-13 18:17:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,2.877883,0.063664675,True,LOW
499,LAPTOP-1MKMTVPM,General,Information,ESENT,2020-11-13 18:18:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,2.5826209,0.057118993,True,LOW
551,LAPTOP-1MKMTVPM,Logging/Recovery,Information,ESENT,2020-11-06 17:36:00,India,Gujarat,Ahmedabad,GTPL A. J. Enterprise,3.5022902,0.07750719,True,LOW
